order,length,word,prob,exchanges
1,2,RM,0.25,0
1,2,LA,0.25,1
1,2,RT,0.25,0
1,2,KD,0.25,0
1,2,AB,0.25,0
1,2,GD,0.25,1
1,2,MI,0.25,0
1,2,DA,0.25,0
1,2,DS,0.25,0
1,2,WN,0.25,0
1,3,BDS,0.25,0
1,3,GSP,0.25,2
1,3,LUX,0.25,0
1,3,PMD,0.25,3
1,3,LTV,0.25,0
1,3,NMA,0.25,1
1,3,FPJ,0.25,0
1,3,FNC,0.25,2
1,3,JNL,0.25,7
1,3,LDC,0.25,3
1,4,ULAB,0.25,33
1,4,EGIN,0.25,27
1,4,UDIT,0.25,15
1,4,LACY,0.25,9
1,4,TINK,0.25,15
1,4,WASN,0.25,8
1,4,ITOE,0.25,20
1,4,TUAK,0.25,5
1,4,KULT,0.25,6
1,4,OCDP,0.25,1
1,5,HENTZ,0.25,39
1,5,GIKEN,0.25,6
1,5,ALSEK,0.25,12
1,5,USINE,0.25,58
1,5,COLDI,0.25,86
1,5,BORAS,0.25,28
1,5,FANYS,0.25,80
1,5,JEWRY,0.25,145
1,5,LOWES,0.25,101
1,5,VETON,0.25,3
1,6,UBIETY,0.25,14
1,6,FARNBY,0.25,222
1,6,URBANE,0.25,150
1,6,DEOSIL,0.25,544
1,6,THANES,0.25,63
1,6,REHMAN,0.25,1194
1,6,BECHAR,0.25,160
1,6,SYLFUM,0.25,613
1,6,ESCUDO,0.25,7
1,6,BURSON,0.25,20
1,7,ARDENCY,0.25,985
1,7,ALNOURI,0.25,3707
1,7,POWRFUL,0.25,7410
1,7,COULDER,0.25,2091
1,7,NURIDZO,0.25,5558
1,7,COLGATE,0.25,774
1,7,CALDONS,0.25,3563
1,7,TRYPSIN,0.25,4096
1,7,COMITES,0.25,332
1,7,PRESOLD,0.25,188
1,2,RM,0.5,0
1,2,LA,0.5,0
1,2,RT,0.5,1
1,2,KD,0.5,1
1,2,AB,0.5,1
1,2,GD,0.5,0
1,2,MI,0.5,0
1,2,DA,0.5,0
1,2,DS,0.5,0
1,2,WN,0.5,0
1,3,BDS,0.5,0
1,3,GSP,0.5,4
1,3,LUX,0.5,0
1,3,PMD,0.5,1
1,3,LTV,0.5,5
1,3,NMA,0.5,2
1,3,FPJ,0.5,1
1,3,FNC,0.5,1
1,3,JNL,0.5,2
1,3,LDC,0.5,2
1,4,ULAB,0.5,28
1,4,EGIN,0.5,1
1,4,UDIT,0.5,45
1,4,LACY,0.5,2
1,4,TINK,0.5,1
1,4,WASN,0.5,12
1,4,ITOE,0.5,4
1,4,TUAK,0.5,1
1,4,KULT,0.5,1
1,4,OCDP,0.5,5
1,5,HENTZ,0.5,46
1,5,GIKEN,0.5,6
1,5,ALSEK,0.5,15
1,5,USINE,0.5,100
1,5,COLDI,0.5,70
1,5,BORAS,0.5,12
