order,length,word,prob,exchanges
1,2,AS,0.5,1
1,2,HR,0.5,1
1,2,OA,0.5,0
1,2,DB,0.5,1
1,2,XN,0.5,0
1,2,UT,0.5,0
1,2,XM,0.5,1
1,2,FO,0.5,0
1,2,LR,0.5,1
1,2,PU,0.5,0
1,3,KUI,0.5,3
1,3,TFC,0.5,2
1,3,VXI,0.5,2
1,3,SIR,0.5,1
1,3,CIP,0.5,0
1,3,MWB,0.5,0
1,3,EDX,0.5,3
1,3,RBJ,0.5,6
1,3,TEH,0.5,2
1,3,EAM,0.5,4
1,4,GTIS,0.5,2
1,4,STUC,0.5,4
1,4,TANU,0.5,5
1,4,AFCO,0.5,13
1,4,METH,0.5,18
1,4,FOCA,0.5,17
1,4,LDMA,0.5,35
1,4,JAEP,0.5,12
1,4,TALC,0.5,10
1,4,TRUF,0.5,10
1,5,GOWNA,0.5,24
1,5,TACHI,0.5,60
1,5,MINOL,0.5,14
1,5,SHANI,0.5,58
1,5,MICHA,0.5,68
1,5,PIROT,0.5,198
1,5,HUSKY,0.5,58
1,5,KOHDE,0.5,2
1,5,HENRI,0.5,96
1,5,OPICS,0.5,82
1,6,KAUBER,0.5,1025
1,6,ISRAEL,0.5,170
1,6,BIORAL,0.5,577
1,6,RAKHOM,0.5,2
1,6,KAIZER,0.5,227
1,6,MARYEN,0.5,58
1,6,ARMENO,0.5,971
1,6,PARQUE,0.5,177
1,6,HAIRDO,0.5,506
1,6,CUBOID,0.5,1208
1,7,HATPINS,0.5,15
1,7,SHEMINX,0.5,2444
1,7,RAMSIDE,0.5,1313
1,7,PINGEOT,0.5,494
1,7,ABOUTIS,0.5,762
1,7,COASTER,0.5,1310
1,7,WAITERS,0.5,365
1,7,SUBZERO,0.5,1011
1,7,ZAORSKI,0.5,1176
1,7,DALMUIR,0.5,833
1,8,LATCHKEY,0.5,15546
1,8,APTEROUS,0.5,15559
1,8,TOPVALUE,0.5,16234
1,8,BOTHWAYS,0.5,36237
1,8,CHALKERS,0.5,1149
1,8,SEMIBULK,0.5,3176
1,8,MERAKLON,0.5,16689
1,8,FLUORIDE,0.5,17818
1,8,WOZNIACK,0.5,26598
1,8,GRIDPLAN,0.5,7014
